OBJECTID,GIS_ID,Highway,FromPoint,ToPoint,MaxSpeed,Source,LastEditDate,SHAPESTLength
4935,149,Trafalgar St,Crumlin Road,East City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,1828.61710373683
4936,150,Veterans Memorial Pky,A point 150 m south of Huron Street,A point 100 m north Page Street,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,2882.09323445742
4937,155,Webber Brne,Kerr Road,East City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,2103.32170925546
4938,159,Wellington Rd S,Scotland Drive,A point 200m north of Bradish Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,2084.90462415322
4939,161,Wellington Rd S,Fisher Lane (south Intersections),South City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,1257.08369088531
4940,165,Westdel Brne,Longwoods Road,South City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,4503.84576347975
4941,167,Westminster Dr,West City Limit,A point 450 m west of White Oak Road (west intersection),80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,8245.84731772614
4942,171,Westminster Dr,Wellington Road S,East City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,6661.92814647915
4943,169,Westminster Dr,A point 400 m east of White Oak Road (east intersection),A point 600 m west of Harper Street,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,1533.23326144413
4944,177,White Oak Rd,A point 100 m south of Blakie Road,A point 300 m north of Westminster Drive (west intersection),80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,1854.92532951999
4945,181,White Oak Rd,Glanworth Drive,Harry White Drive,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,1389.47094981317
4946,179,White Oak Rd,A point 150 m south of Westminster Drive,Manning Drive,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,2496.88693625625
4947,183,Willsie Brne,Old Victoria Road,East City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:09+00,622.400840366751
