OBJECTID,GIS_ID,StreetName,StreetClassification,VolumeCount,TruckRoute,LastEditDate,ShapeSTLength
12681,179,Merlin Cres,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,634.832582098613
12682,180,Milestone Rd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,510.37148892674
12683,181,Milestone Rd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,78.9863954366826
12684,182,Monsarrat Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,240.000421032807
12685,183,Monsarrat Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,299.976327778897
12686,184,Morgan Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,415.113234085028
12687,185,Mount Pleasant Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,416.58610903161
12688,186,Nanette Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,525.200045022627
12689,187,Nottinghill Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,267.125047029128
12690,188,Oak Park Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,485.735695031886
12691,189,Ontario St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,110.196757042123
12692,190,Ontario St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,144.447926494914
12693,191,Ontario St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,111.814677492939
12694,192,Optimist Park Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,632.298051262219
12695,193,Outer Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,1338.06131443207
12696,194,Page St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,377.895336649538
12697,195,Page St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,265.259984849488
12698,196,Parkhurst Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,817.875550759088
12699,197,Pinetree Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,304.697730309151
12700,198,Plymouth Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,224.049204075634
12701,199,Quarrier Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,546.382669985457
12702,200,Quinella Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,424.90845238597
12703,201,Raleigh Blvd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,196.31298194399
12704,202,Raleigh Blvd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,252.048563018264
12705,203,Reardon Blvd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,427.426861648802
12706,204,Regal Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,105.999103239226
12707,205,Regent St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,259.778616138247
12708,206,Santa-monica Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,542.536884401644
12709,207,Scotchpine Cres,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,187.329779117399
12710,208,Shavian Blvd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,644.818258071051
12711,209,Southminster Brne,Rural Thoroughfare,1000,None,2023/10/04 18:08:46+00,2036.79437310962
12712,210,Sovereign Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,611.607960751421
12713,211,Sovereign Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,682.424066928784
12714,212,Sovereign Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,622.568585275086
12715,213,St George St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,142.196422507555
12716,214,St George St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,247.857861758371
12717,215,St James St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,187.720532775959
12718,216,Sunray Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,737.827826225248
12719,217,Sunray Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,143.78557352937
12720,218,Talbot St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,141.517465324658
12721,219,Tavistock Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,122.873222754577
12722,220,Townsend Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,78.2438294099924
12723,221,Vesta Rd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,275.415827652678
12724,222,Vesta Rd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,270.690616990283
12725,223,Victoria St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,151.150981013796
12726,224,Village Green Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,92.3544017759847
12727,225,Village Green Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,94.240238284014
12728,226,Villagewalk Blvd,Main Street,1000,None,2023/10/04 18:08:46+00,499.571158329622
12729,227,Webster St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,371.999659937836
12730,228,Wellington St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,157.735183375175
12731,229,Westdel Brne,Rural Thoroughfare,1000,None,2023/10/04 18:08:46+00,59.788392131249
12732,230,Weston St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,669.375763749298
12733,231,Wexford Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,282.989577330878
12734,232,Whitehall Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,217.497979823334
12735,233,Wickerson Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,808.901839455425
12736,234,Wychwood Pk,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,1062.87176249164
12737,235,Adelaide St N - Ramp,Ramps,1250,24 hrs,2023/10/04 18:08:46+00,28.4592959823324
